Number, Time, Resource, NoOfElements, Type
139, 45093, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2028%20of%2030/model/Model.arxml, 1, Save
140, 94684, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 1, Save
141, 61203, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 2, Save
142, 52246, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 3, Save
143, 52066, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 3, Save
144, 45834, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 1, Save
145, 71952, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 1, Save
146, 58026, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 2, Save
147, 55282, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 3, Save
148, 48049, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 3, Save
149, 42839, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 1, Save
195, 62655, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
196, 54159, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
197, 46004, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
198, 73164, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
199, 59389, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
200, 51184, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
201, 99432, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
202, 60250, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
203, 63818, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
204, 105845, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
205, 57616, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2019%20of%2030/model/Model.arxml, 2, Save
206, 59149, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
207, 75900, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
