Number, Time, Resource, NoOfElements, Type
297, 48309, file:/tmp/junit-16578600053191036747/example.model2, 2, Save
298, 76681, file:/tmp/junit-16578600053191036747/example.model, 1, Save
299, 43590, file:/tmp/junit-16578600053191036747/example.model2, 1, Save
330, 111154, file:/tmp/junit-11640162222011328256/example.model2, 1, Save
331, 48830, file:/tmp/junit-11640162222011328256/example.model, 1, Save
332, 220245, file:/tmp/junit-3090968422150319013/example.model, 1, Save
333, 110744, file:/tmp/junit-3090968422150319013/example.model2, 1, Save
334, 119350, file:/tmp/junit-1195170423736294103/example.model, 1, Save
335, 60762, file:/tmp/junit-1195170423736294103/example.model2, 1, Save
336, 149354, file:/tmp/junit-17438723695921757615/example.model2, 1, Save
337, 69669, file:/tmp/junit-17438723695921757615/example.model, 1, Save
338, 110623, file:/tmp/junit-12780899613705023268/example.model2, 1, Save
339, 49070, file:/tmp/junit-12780899613705023268/example.model, 1, Save
340, 104833, file:/tmp/junit-8435032942269709156/example.model2, 1, Save
341, 481816, file:/tmp/junit-8435032942269709156/example.model, 1, Save
342, 235673, file:/tmp/junit-10580435349485975613/example.model, 1, Save
343, 146790, file:/tmp/junit-10580435349485975613/example.model2, 1, Save
344, 164382, file:/tmp/junit-12755892077475761682/example.model, 1, Save
345, 52997, file:/tmp/junit-12755892077475761682/example.model2, 1, Save
346, 115612, file:/tmp/junit-15943286166506713093/example.model, 1, Save
347, 41857, file:/tmp/junit-15943286166506713093/example.model2, 1, Save
348, 106105, file:/tmp/junit-12839880903611061103/example.model, 1, Save
349, 44602, file:/tmp/junit-12839880903611061103/example.model2, 1, Save
350, 113990, file:/tmp/junit-3145999550085116214/example.model2, 1, Save
351, 42889, file:/tmp/junit-3145999550085116214/example.model, 1, Save
352, 98832, file:/tmp/junit-4294008177658901929/example.model2, 1, Save
353, 40234, file:/tmp/junit-4294008177658901929/example.model, 1, Save
354, 89024, file:/tmp/junit-1885797972417759826/example.model2, 1, Save
355, 36938, file:/tmp/junit-1885797972417759826/example.model, 1, Save
356, 93803, file:/tmp/junit-17616774797984864330/example.model, 1, Save
357, 36227, file:/tmp/junit-17616774797984864330/example.model2, 1, Save
358, 97599, file:/tmp/junit-16218920947509058905/example.model2, 1, Save
359, 35956, file:/tmp/junit-16218920947509058905/example.model, 1, Save
