VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
581, 9, 433131, 2, 4
582, 9, 761256, 2, 2
583, 9, 486612, 2, 4
584, 9, 618408, 2, 2
585, 9, 332463, 2, 4
586, 9, 819675, 2, 2
587, 9, 587661, 2, 4
588, 9, 609943, 2, 2
589, 9, 372588, 2, 4
590, 9, 517309, 2, 2
591, 9, 349915, 2, 4
592, 9, 554198, 2, 2
593, 9, 370184, 2, 4
594, 9, 528910, 2, 2
595, 9, 320731, 2, 4
596, 9, 627085, 2, 2
597, 9, 354484, 2, 4
598, 9, 1112444, 2, 2
599, 9, 648395, 2, 4
630, 9, 614250, 2, 2
631, 9, 456615, 2, 4
632, 9, 641041, 2, 2
633, 9, 424095, 2, 4
634, 9, 882794, 2, 2
635, 9, 589514, 2, 4
636, 9, 760996, 2, 2
637, 9, 504525, 2, 4
638, 9, 731029, 2, 2
639, 9, 503072, 2, 4
640, 9, 670105, 2, 2
641, 9, 417983, 2, 4
642, 9, 736770, 2, 2
643, 9, 413625, 2, 4
644, 9, 1162016, 2, 2
645, 9, 672290, 2, 4
646, 9, 808955, 2, 2
647, 9, 474879, 2, 4
648, 9, 740136, 2, 2
649, 9, 638817, 2, 4
650, 9, 723275, 2, 2
651, 9, 689181, 2, 4
652, 9, 802453, 2, 2
653, 9, 746158, 2, 4
654, 9, 804617, 2, 2
655, 9, 434043, 2, 4
656, 9, 700462, 2, 2
657, 9, 537758, 2, 4
658, 9, 872254, 2, 2
659, 9, 709920, 2, 4
