VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
939, 6, 210126, 1, 2
940, 6, 170561, 1, 2
941, 30, 358123, 1, 7
942, 6, 399070, 1, 1
943, 6, 228089, 1, 2
944, 6, 295836, 1, 2
945, 6, 217078, 1, 2
946, 6, 218441, 1, 2
947, 30, 348095, 1, 7
948, 6, 338386, 1, 1
949, 6, 229722, 1, 2
950, 6, 177854, 1, 2
951, 6, 206488, 1, 2
952, 6, 182613, 1, 2
953, 30, 264116, 1, 7
954, 6, 376628, 1, 1
955, 6, 281138, 1, 2
956, 6, 230734, 1, 2
957, 6, 219593, 1, 2
958, 6, 216336, 1, 2
959, 30, 417626, 1, 7
1035, 6, 372291, 1, 1
1036, 6, 309743, 1, 2
1037, 6, 251683, 1, 2
1038, 6, 204164, 1, 3
1039, 6, 153779, 1, 3
1040, 6, 297800, 1, 1
1041, 6, 216407, 1, 2
1042, 6, 222920, 1, 2
1043, 6, 240082, 1, 3
1044, 6, 182223, 1, 3
1045, 6, 364956, 1, 1
1046, 6, 239009, 1, 2
1047, 6, 218721, 1, 2
1048, 6, 180740, 1, 3
1049, 6, 252134, 1, 3
1050, 6, 407246, 1, 1
1051, 6, 305695, 1, 2
1052, 6, 424428, 1, 2
1053, 6, 201058, 1, 3
1054, 6, 192923, 1, 3
1055, 6, 305234, 1, 1
1056, 6, 220364, 1, 2
1057, 6, 223119, 1, 2
1058, 6, 197721, 1, 3
1059, 6, 196870, 1, 3
1060, 6, 320603, 1, 1
1061, 6, 213702, 1, 2
1062, 6, 202381, 1, 2
1063, 6, 187121, 1, 3
1064, 6, 147878, 1, 3
1065, 6, 273865, 1, 1
1066, 6, 194205, 1, 2
1067, 6, 178265, 1, 2
1068, 6, 182183, 1, 3
1069, 6, 142538, 1, 3
1070, 6, 293231, 1, 1
1071, 6, 262704, 1, 2
1072, 6, 251583, 1, 2
1073, 6, 222418, 1, 3
1074, 6, 152487, 1, 3
1075, 6, 304633, 1, 1
